game,kickoff_et,bet_type,selection,opponent,line,best_book,best_odds,best_decimal,avg_other_decimal,Ballybet,BetMGM,BetRivers,Betanysports,Betonlineag,Betparx,Betus,Bovada,DraftKings,ESPNBet,FanDuel,Fanatics,Fliff,Hardrockbet,Lowvig,Mybookieag,Rebet,Williamhill_Us
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Moneyline,Air Force Falcons,UConn Huskies,,Fliff,280,3.8,3.415,230,240,225,240,241,230,253,255,250,260,260,240,280,225,241,234,,240
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Moneyline,UConn Huskies,Air Force Falcons,,Ballybet,-278,1.3597,1.3277,-278,-295,-278,-300,-295,-278,-305,-310,-310,-320,-320,-300,-405,-300,-295,-300,,-305
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Spread,Air Force Falcons,UConn Huskies,7.5,Lowvig,-101,1.9901,1.9244,,-110,,-110,-106,,-110,,-108,,-105,,,-105,-101,-110,,-110
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Spread,UConn Huskies,Air Force Falcons,-7.5,Mybookieag,-110,1.9091,1.894,,-110,,-110,-114,,-110,,-112,,-115,,,-115,-111,-110,,-110
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Total,Over,UConn Huskies,64.5,Bovada,-105,1.9524,1.9107,-110,-110,-112,-110,,-110,-110,-105,-108,-105,-108,-110,-115,-110,,,,-110
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Total,Under,UConn Huskies,64.5,Hardrockbet,-110,1.9091,1.8993,-110,-110,-112,-110,,-110,-110,-115,-112,-115,-112,-110,-110,-110,,,,-110
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Total,Over,UConn Huskies,64.0,Mybookieag,-110,1.9091,,,,,,,,,,,,,,,,,-110,,
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Total,Under,UConn Huskies,64.0,Mybookieag,-110,1.9091,,,,,,,,,,,,,,,,,-110,,
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Spread,Air Force Falcons,UConn Huskies,8.0,Fanatics,-110,1.9091,1.8794,-115,,-115,,,-115,,-110,,,,-110,,,,,,
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Spread,UConn Huskies,Air Force Falcons,-8.0,Ballybet,-106,1.9434,1.9136,-106,,-112,,,-106,,-110,,,,-110,,,,,,
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Spread,Air Force Falcons,UConn Huskies,9.5,Fliff,-110,1.9091,,,,,,,,,,,,,,-110,,,,,
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Spread,UConn Huskies,Air Force Falcons,-9.5,Fliff,-110,1.9091,,,,,,,,,,,,,,-110,,,,,
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Total,Over,UConn Huskies,63.5,Lowvig,-108,1.9259,1.9091,,,,,-110,,,,,,,,,,-108,,,
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Total,Under,UConn Huskies,63.5,Lowvig,-108,1.9259,1.9091,,,,,-110,,,,,,,,,,-108,,,
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Spread,Air Force Falcons,UConn Huskies,8.5,ESPNBet,-110,1.9091,,,,,,,,,,,-110,,,,,,,,
Air Force Falcons @ UConn Huskies,2025-11-15 12:00 ET,Spread,UConn Huskies,Air Force Falcons,-8.5,ESPNBet,-110,1.9091,,,,,,,,,,,-110,,,,,,,,
Arizona Wildcats @ Cincinnati Bearcats,2025-11-15 12:00 ET,Moneyline,Arizona Wildcats,Cincinnati Bearcats,,Fliff,195,2.95,2.7682,165,170,165,180,180,165,185,170,180,180,180,180,195,180,180,183,187,176
Arizona Wildcats @ Cincinnati Bearcats,2025-11-15 12:00 ET,Moneyline,Cincinnati Bearcats,Arizona Wildcats,,Bovada,-200,1.5,1.4528,-220,-210,-220,-220,-210,-220,-220,-200,-218,-215,-220,-220,-265,-230,-210,-230,-224,-213
Arizona Wildcats @ Cincinnati Bearcats,2025-11-15 12:00 ET,Spread,Arizona Wildcats,Cincinnati Bearcats,5.5,Lowvig,-101,1.9901,1.9337,,-110,,-110,-105,,,,-108,,-105,,,-105,-101,,,-107
Arizona Wildcats @ Cincinnati Bearcats,2025-11-15 12:00 ET,Spread,Cincinnati Bearcats,Arizona Wildcats,-5.5,BetMGM,-110,1.9091,1.8852,,-110,,-110,-115,,,,-112,,-115,,,-115,-111,,,-113
Arizona Wildcats @ Cincinnati Bearcats,2025-11-15 12:00 ET,Total,Over,Cincinnati Bearcats,56.5,Mybookieag,-110,1.9091,1.9006,-110,-110,-112,-110,,-110,-110,-110,-110,-115,-112,-110,-115,-110,,-110,-110,-112
Arizona Wildcats @ Cincinnati Bearcats,2025-11-15 12:00 ET,Total,Under,Cincinnati Bearcats,56.5,ESPNBet,-105,1.9524,1.9097,-110,-110,-112,-110,,-110,-110,-110,-110,-105,-108,-110,-110,-110,,-110,-110,-109
Arizona Wildcats @ Cincinnati Bearcats,2025-11-15 12:00 ET,Spread,Arizona Wildcats,Cincinnati Bearcats,6.0,Mybookieag,-110,1.9091,1.9091,,,,,,,-110,-110,,,,-110,,,,-110,-110,
Arizona Wildcats @ Cincinnati Bearcats,2025-11-15 12:00 ET,Spread,Cincinnati Bearcats,Arizona Wildcats,-6.0,Mybookieag,-110,1.9091,1.9091,,,,,,,-110,-110,,,,-110,,,,-110,-110,
Arizona Wildcats @ Cincinnati Bearcats,2025-11-15 12:00 ET,Spread,Arizona Wildcats,Cincinnati Bearcats,6.5,Fliff,-110,1.9091,1.8949,-112,,-113,,,-112,,,,-110,,,-110,,,,,
Arizona Wildcats @ Cincinnati Bearcats,2025-11-15 12:00 ET,Spread,Cincinnati Bearcats,Arizona Wildcats,-6.5,Betparx,-109,1.9174,1.9112,-109,,-110,,,-109,,,,-110,,,-110,,,,,
Arizona Wildcats @ Cincinnati Bearcats,2025-11-15 12:00 ET,Total,Over,Cincinnati Bearcats,55.5,Lowvig,-114,1.8772,1.8696,,,,,-115,,,,,,,,,,-114,,,
