event,player,group,threshold,BetMGM,BetRivers,Bovada,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,best_book,best_odds,best_decimal,avg_other,value_ratio
Atlanta Hawks @ Utah Jazz,Kyle Filipowski,Points,25,,,2500.0,,,,,10000.0,HardRockBet,10000.0,101.0,26.0,3.8846153846153846
Atlanta Hawks @ Utah Jazz,Dyson Daniels,Threes,3,,,,556.0,,,,2000.0,HardRockBet,2000.0,21.0,6.56,3.2012195121951224
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Points,25,,,2800.0,,,,,7500.0,HardRockBet,7500.0,76.0,29.0,2.6206896551724137
Atlanta Hawks @ Utah Jazz,Jusuf Nurkic,Points,25,,,1900.0,,,,,5000.0,HardRockBet,5000.0,51.0,20.0,2.55
Atlanta Hawks @ Utah Jazz,Dyson Daniels,Threes,2,,,,169.0,,,,550.0,HardRockBet,550.0,6.5,2.69,2.41635687732342
Indiana Pacers @ Phoenix Suns,Royce O'Neale,Points,25,,,1800.0,2400.0,1400.0,1700.0,,4000.0,HardRockBet,4000.0,41.0,19.25,2.1298701298701297
Toronto Raptors @ Cleveland Cavaliers,Jaylon Tyson,Points,25,,,2400.0,5100.0,,,,,DraftKings,5100.0,52.0,25.0,2.08
Indiana Pacers @ Phoenix Suns,Oso Ighodaro,Points,15,,,950.0,2200.0,1200.0,1300.0,,3000.0,HardRockBet,3000.0,31.0,15.125,2.049586776859504
Toronto Raptors @ Cleveland Cavaliers,Evan Mobley,Points,40,,,2500.0,,,5000.0,,,FanDuel,5000.0,51.0,26.0,1.9615384615384615
Atlanta Hawks @ Utah Jazz,Lauri Markkanen,Points,45,,,1600.0,3600.0,,2000.0,,,DraftKings,3600.0,37.0,19.0,1.9473684210526316
Indiana Pacers @ Phoenix Suns,Ryan Dunn,Points,20,,,2100.0,4000.0,2000.0,,,,DraftKings,4000.0,41.0,21.5,1.9069767441860466
Indiana Pacers @ Phoenix Suns,Dillon Brooks,Points,35,,,2500.0,5000.0,2500.0,3000.0,,3000.0,DraftKings,5000.0,51.0,28.5,1.7894736842105263
Indiana Pacers @ Phoenix Suns,Andrew Nembhard,Rebounds,7,,,1100.0,,,,,2000.0,HardRockBet,2000.0,21.0,12.0,1.75
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Rebounds,7,,,1100.0,,,,,2000.0,HardRockBet,2000.0,21.0,12.0,1.75
Atlanta Hawks @ Utah Jazz,Dyson Daniels,Points,30,,,1800.0,4300.0,,2500.0,,3000.0,DraftKings,4300.0,44.0,25.333333333333332,1.736842105263158
Toronto Raptors @ Cleveland Cavaliers,Immanuel Quickley,Assists,12,,,,,,1700.0,,3000.0,HardRockBet,3000.0,31.0,18.0,1.7222222222222223
Toronto Raptors @ Cleveland Cavaliers,R.J. Barrett,Threes,7,,,3500.0,,,,,2000.0,Bovada,3500.0,36.0,21.0,1.7142857142857142
Indiana Pacers @ Phoenix Suns,Devin Booker,Threes,7,,,3500.0,,,,,2000.0,Bovada,3500.0,36.0,21.0,1.7142857142857142
Atlanta Hawks @ Utah Jazz,Svi Mykhailiuk,Threes,7,,,3500.0,,,,,2000.0,Bovada,3500.0,36.0,21.0,1.7142857142857142
Atlanta Hawks @ Utah Jazz,Jusuf Nurkic,Threes,3,,,,1140.0,,,,2000.0,HardRockBet,2000.0,21.0,12.4,1.6935483870967742
Indiana Pacers @ Phoenix Suns,Isaiah Jackson,Points,20,,,1400.0,2600.0,1400.0,1700.0,,,DraftKings,2600.0,27.0,16.0,1.6875
Atlanta Hawks @ Utah Jazz,Lauri Markkanen,Assists,5,,,,920.0,,,,1600.0,HardRockBet,1600.0,17.0,10.2,1.6666666666666667
Atlanta Hawks @ Utah Jazz,Kyle Filipowski,Assists,5,,,,980.0,,,650.0,1400.0,HardRockBet,1400.0,15.0,9.15,1.639344262295082
Indiana Pacers @ Phoenix Suns,Pascal Siakam,Points,45,,,2000.0,3600.0,2000.0,2500.0,,,DraftKings,3600.0,37.0,22.666666666666668,1.6323529411764706
