event,player,group,threshold,BetRivers,Bovada,Caesars,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,best_book,best_odds,best_decimal,avg_other,value_ratio
Arizona Cardinals @ Dallas Cowboys,Simi Fehoko,AnytimeTD,Anytime,2900.0,2500.0,2200.0,2200.0,,3000.0,1500.0,5000.0,HardRockBet,5000.0,51.0,24.833333333333332,2.053691275167785
Arizona Cardinals @ Dallas Cowboys,Xavier Weaver,AnytimeTD,Anytime,1700.0,2500.0,1800.0,1500.0,,3000.0,1200.0,3000.0,FanDuel,3000.0,31.0,20.5,1.5121951219512195
Arizona Cardinals @ Dallas Cowboys,Brevyn Spann-Ford,AnytimeTD,Anytime,1300.0,1100.0,1000.0,1000.0,,1100.0,800.0,1600.0,HardRockBet,1600.0,17.0,11.5,1.4782608695652173
Arizona Cardinals @ Dallas Cowboys,Zonovan Knight,Receiving,50,,,,1500.0,1600.0,,,600.0,ESPNBET,1600.0,17.0,11.5,1.4782608695652173
Arizona Cardinals @ Dallas Cowboys,Jaydon Blue,AnytimeTD,Anytime,900.0,625.0,575.0,750.0,,650.0,550.0,375.0,BetRivers,900.0,10.0,6.875,1.4545454545454546
Arizona Cardinals @ Dallas Cowboys,Zay Jones,Receiving,50,420.0,,375.0,369.0,325.0,360.0,,575.0,HardRockBet,575.0,6.75,4.698,1.4367816091954022
Arizona Cardinals @ Dallas Cowboys,Zonovan Knight,Receiving,25,,,,325.0,,,,200.0,DraftKings,325.0,4.25,3.0,1.4166666666666667
Arizona Cardinals @ Dallas Cowboys,Luke Schoonmaker,AnytimeTD,Anytime,900.0,600.0,575.0,600.0,,600.0,580.0,750.0,BetRivers,900.0,10.0,7.175,1.3937282229965158
Arizona Cardinals @ Dallas Cowboys,Zay Jones,Receiving,80,,,,1260.0,850.0,1100.0,,800.0,DraftKings,1260.0,13.6,10.166666666666666,1.337704918032787
Arizona Cardinals @ Dallas Cowboys,Javonte Williams,Receiving,50,,,,1160.0,1200.0,,,600.0,ESPNBET,1200.0,13.0,9.8,1.3265306122448979
Arizona Cardinals @ Dallas Cowboys,Jacoby Brissett,Rushing,50,,1200.0,,1040.0,1000.0,1500.0,,1200.0,FanDuel,1500.0,16.0,12.1,1.322314049586777
Arizona Cardinals @ Dallas Cowboys,Michael Wilson,Receiving,80,,,,1220.0,,1060.0,,800.0,DraftKings,1220.0,13.2,10.3,1.2815533980582523
Arizona Cardinals @ Dallas Cowboys,Jake Ferguson,Receiving,80,,,575.0,511.0,500.0,680.0,,500.0,FanDuel,680.0,7.8,6.215,1.255028157683025
Arizona Cardinals @ Dallas Cowboys,Jacoby Brissett,Passing,350,,725.0,650.0,1020.0,1000.0,800.0,,,DraftKings,1020.0,11.2,8.9375,1.253146853146853
Arizona Cardinals @ Dallas Cowboys,Hunter Luepke,AnytimeTD,Anytime,2000.0,1700.0,1500.0,2000.0,,1700.0,1300.0,1300.0,BetRivers,2000.0,21.0,16.833333333333332,1.2475247524752475
Arizona Cardinals @ Dallas Cowboys,Jonathan Mingo,AnytimeTD,Anytime,1300.0,1100.0,1000.0,1100.0,,1100.0,850.0,,BetRivers,1300.0,14.0,11.3,1.238938053097345
