event,player,group,threshold,BetRivers,Bovada,Caesars,DraftKings,ESPNBET,FanDuel,Fanatics,HardRockBet,betPARX,best_book,best_odds,best_decimal,avg_other,value_ratio
Pittsburgh Steelers @ Cincinnati Bengals,Joe Flacco,Passing,350,,900.0,1100.0,1820.0,,1000.0,,,,DraftKings,1820.0,19.2,11.0,1.7454545454545454
Pittsburgh Steelers @ Cincinnati Bengals,Tahj Brooks,AnytimeTD,Anytime,1050.0,3300.0,2400.0,2800.0,,3500.0,1700.0,1600.0,1050.0,FanDuel,3500.0,36.0,20.857142857142858,1.726027397260274
Pittsburgh Steelers @ Cincinnati Bengals,Aaron Rodgers,Passing,350,,1500.0,,2900.0,2000.0,1500.0,,,,DraftKings,2900.0,30.0,17.666666666666668,1.6981132075471697
Pittsburgh Steelers @ Cincinnati Bengals,Cam Grandy,AnytimeTD,Anytime,1800.0,825.0,950.0,1700.0,,850.0,800.0,,1800.0,BetRivers,1800.0,19.0,12.541666666666666,1.514950166112957
Pittsburgh Steelers @ Cincinnati Bengals,Joe Flacco,AnytimeTD,Anytime,2500.0,2500.0,1600.0,1200.0,,2700.0,1200.0,,2500.0,FanDuel,2700.0,28.0,20.166666666666668,1.3884297520661155
Pittsburgh Steelers @ Cincinnati Bengals,Connor Heyward,AnytimeTD,Anytime,1000.0,625.0,675.0,650.0,,650.0,600.0,,1000.0,BetRivers,1000.0,11.0,8.0,1.375
Pittsburgh Steelers @ Cincinnati Bengals,Aaron Rodgers,AnytimeTD,Anytime,1400.0,1700.0,1200.0,1000.0,,1700.0,900.0,1100.0,1400.0,Bovada,1700.0,18.0,13.428571428571429,1.3404255319148937
New York Giants @ Denver Broncos,Jaxson Dart,AnytimeTD,Anytime,,,,330.0,,,,225.0,,DraftKings,330.0,4.3,3.25,1.323076923076923
Pittsburgh Steelers @ Cincinnati Bengals,Joe Flacco,Passing,300,410.0,350.0,305.0,506.0,350.0,360.0,,,410.0,DraftKings,506.0,6.06,4.641666666666667,1.3055655296229802
Pittsburgh Steelers @ Cincinnati Bengals,Ben Skowronek,AnytimeTD,Anytime,1150.0,900.0,800.0,750.0,,900.0,700.0,,1150.0,BetRivers,1150.0,12.5,9.666666666666666,1.293103448275862
Pittsburgh Steelers @ Cincinnati Bengals,Mitchell Tinsley,AnytimeTD,Anytime,2200.0,1600.0,1500.0,2200.0,,1600.0,1200.0,1600.0,2200.0,BetRivers,2200.0,23.0,18.0,1.2777777777777777
Pittsburgh Steelers @ Cincinnati Bengals,Drew Sample,AnytimeTD,Anytime,900.0,825.0,950.0,1200.0,,850.0,800.0,1200.0,900.0,DraftKings,1200.0,13.0,10.178571428571429,1.2771929824561403
Pittsburgh Steelers @ Cincinnati Bengals,Jermaine Burton,AnytimeTD,Anytime,2500.0,2200.0,1800.0,1700.0,,2200.0,1300.0,,2500.0,BetRivers,2500.0,26.0,20.5,1.2682926829268293
Pittsburgh Steelers @ Cincinnati Bengals,Kaleb Johnson,AnytimeTD,Anytime,850.0,1000.0,750.0,700.0,,1000.0,,600.0,850.0,Bovada,1000.0,11.0,8.916666666666666,1.2336448598130842
Pittsburgh Steelers @ Cincinnati Bengals,Aaron Rodgers,Passing,300,,625.0,550.0,780.0,650.0,630.0,,700.0,,DraftKings,780.0,8.8,7.31,1.2038303693570453
Pittsburgh Steelers @ Cincinnati Bengals,Tee Higgins,Receiving,110,,900.0,,1180.0,1100.0,920.0,,,,DraftKings,1180.0,12.8,10.733333333333334,1.1925465838509317
Pittsburgh Steelers @ Cincinnati Bengals,Tanner Hudson,AnytimeTD,Anytime,750.0,,,900.0,,,740.0,,750.0,DraftKings,900.0,10.0,8.466666666666667,1.1811023622047243
Pittsburgh Steelers @ Cincinnati Bengals,Noah Fant,AnytimeTD,Anytime,600.0,400.0,450.0,600.0,,440.0,470.0,500.0,600.0,BetRivers,600.0,7.0,5.942857142857142,1.1778846153846154
Pittsburgh Steelers @ Cincinnati Bengals,Jaylen Warren,Rushing,110,,950.0,,1220.0,,1100.0,,,,DraftKings,1220.0,13.2,11.25,1.1733333333333333
Pittsburgh Steelers @ Cincinnati Bengals,Calvin Austin III,AnytimeTD,Anytime,390.0,330.0,320.0,320.0,,330.0,315.0,275.0,390.0,BetRivers,390.0,4.9,4.257142857142857,1.151006711409396
Pittsburgh Steelers @ Cincinnati Bengals,Charlie Jones,AnytimeTD,Anytime,2200.0,2200.0,1800.0,1900.0,,2200.0,1500.0,1500.0,2200.0,BetRivers,2200.0,23.0,20.0,1.15
New York Giants @ Denver Broncos,Cam Skattebo,AnytimeTD,Anytime,,,,135.0,,,,110.0,,DraftKings,135.0,2.35,2.1,1.119047619047619
Pittsburgh Steelers @ Cincinnati Bengals,Andrei Iosivas,AnytimeTD,Anytime,575.0,700.0,625.0,700.0,,700.0,580.0,575.0,575.0,Bovada,700.0,8.0,7.185714285714285,1.1133200795228628
Pittsburgh Steelers @ Cincinnati Bengals,Joe Flacco,Passing,250,125.0,110.0,105.0,139.0,110.0,114.0,,,125.0,DraftKings,139.0,2.3899999999999997,2.1483333333333334,1.1124903025601238
Los Angeles Rams @ Jacksonville Jaguars,Kyren Williams,AnytimeTD,Anytime,,,-179.0,-200.0,,,-195.0,-145.0,,HardRockBet,-145.0,1.6896551724137931,1.5238265768992025,1.1088237979495221
Pittsburgh Steelers @ Cincinnati Bengals,Pat Freiermuth,AnytimeTD,Anytime,700.0,625.0,600.0,600.0,,650.0,550.0,650.0,700.0,BetRivers,700.0,8.0,7.25,1.103448275862069
