normalized_player,bet_type,player,BetMGM_Odds,BetRivers_Odds,Betonlineag_Odds,Bovada_Odds,DraftKings_Odds,FanDuel_Odds,Fanatics_Odds,Mybookieag_Odds,value,value_book,value_odds,value_flag,GPT Value
Addison Barger,To Hit 1+ HR,Addison Barger,600,550,500,550,730,680,560,450,1.3136,DraftKings_Odds,730,TRUE,
Alejandro Kirk,To Hit 1+ HR,Alejandro Kirk,700,650,700,750,720,750,620,630,1.1006,FanDuel_Odds,750,TRUE,
Alex Call,To Hit 1+ HR,Alex Call,,,700,800,,800,,,1.0667,FanDuel_Odds,800,FALSE,
Andres Gimenez,To Hit 1+ HR,Andres Gimenez,1200,,900,1200,1280,1200,1300,810,1.1836,Fanatics_Odds,1300,TRUE,
Andrew Vaughn,To Hit 1+ HR,Andrew Vaughn,550,525,500,500,620,540,560,,1.1717,DraftKings_Odds,620,TRUE,
Andy Pages,To Hit 1+ HR,Andy Pages,625,500,600,630,650,680,580,,1.1381,FanDuel_Odds,680,TRUE,
Anthony Santander,To Hit 1+ HR,Anthony Santander,475,370,500,500,541,520,440,450,1.1634,DraftKings_Odds,541,TRUE,
Blake Perkins,To Hit 1+ HR,Blake Perkins,1200,1150,,,,,,,1.0435,BetMGM_Odds,1200,FALSE,
Brice Turang,To Hit 1+ HR,Brice Turang,775,750,700,700,880,800,740,,1.1825,DraftKings_Odds,880,TRUE,
Cal Raleigh,To Hit 1+ HR,Cal Raleigh,220,250,225,220,221,240,215,202,1.1342,BetRivers_Odds,250,TRUE,
Caleb Durbin,To Hit 1+ HR,Caleb Durbin,950,900,900,900,1120,900,950,,1.2218,DraftKings_Odds,1120,TRUE,
Christian Yelich,To Hit 1+ HR,Christian Yelich,625,540,500,500,595,500,560,,1.1737,BetMGM_Odds,625,TRUE,
Daulton Varsho,To Hit 1+ HR,Daulton Varsho,475,450,400,420,478,420,440,360,1.1285,DraftKings_Odds,478,TRUE,
Dominic Canzone,To Hit 1+ HR,Dominic Canzone,600,700,500,550,576,560,580,540,1.2545,BetRivers_Odds,700,TRUE,
Enrique Hernandez,To Hit 1+ HR,Enrique Hernandez,725,,700,750,830,800,660,,1.1417,DraftKings_Odds,830,TRUE,
Ernie Clement,To Hit 1+ HR,Ernie Clement,1350,,900,1300,1080,1400,1300,810,1.2463,FanDuel_Odds,1400,TRUE,
Eugenio Suarez,To Hit 1+ HR,Eugenio Suarez,425,450,400,400,407,420,410,360,1.1162,BetRivers_Odds,450,TRUE,
Freddie Freeman,To Hit 1+ HR,Freddie Freeman,450,440,500,550,528,520,440,,1.1466,Bovada_Odds,550,TRUE,
George Springer,To Hit 1+ HR,George Springer,400,370,400,420,409,400,390,360,1.0773,Bovada_Odds,420,FALSE,
J.P. Crawford,To Hit 1+ HR,J.P. Crawford,1100,,900,1100,1100,1200,950,810,1.2081,FanDuel_Odds,1200,TRUE,
Jackson Chourio,To Hit 1+ HR,Jackson Chourio,400,360,400,410,430,400,390,,1.0932,DraftKings_Odds,430,FALSE,
Jake Bauers,To Hit 1+ HR,Jake Bauers,,,600,550,740,630,560,540,1.2847,DraftKings_Odds,740,TRUE,
Joey Ortiz,To Hit 1+ HR,Joey Ortiz,1250,1050,900,1200,1520,1700,1200,,1.4326,FanDuel_Odds,1700,TRUE,
Jorge Polanco,To Hit 1+ HR,Jorge Polanco,475,550,450,430,455,440,460,400,1.2379,BetRivers_Odds,550,TRUE,
Josh Naylor,To Hit 1+ HR,Josh Naylor,500,525,500,480,493,500,510,450,1.0705,BetRivers_Odds,525,FALSE,
Julio Rodriguez,To Hit 1+ HR,Julio Rodriguez,400,420,400,400,415,420,365,360,1.0652,FanDuel_Odds,420,FALSE,
Max Muncy,To Hit 1+ HR,Max Muncy,400,420,400,,409,,365,360,1.0858,BetRivers_Odds,420,FALSE,
Mookie Betts,To Hit 1+ HR,Mookie Betts,450,440,500,500,512,520,440,,1.0978,FanDuel_Odds,520,FALSE,
Nathan Lukes,To Hit 1+ HR,Nathan Lukes,875,1000,700,900,800,870,780,630,1.2601,BetRivers_Odds,1000,TRUE,
Randy Arozarena,To Hit 1+ HR,Randy Arozarena,475,540,500,470,526,500,460,450,1.118,BetRivers_Odds,540,TRUE,
Sal Frelick,To Hit 1+ HR,Sal Frelick,1150,1150,900,1300,1600,1500,1200,,1.3333,DraftKings_Odds,1600,TRUE,
Shohei Ohtani,To Hit 1+ HR,Shohei Ohtani,250,220,225,240,232,255,240,202,1.1094,FanDuel_Odds,255,TRUE,
Teoscar Hernandez,To Hit 1+ HR,Teoscar Hernandez,375,350,400,400,384,420,350,,1.1155,FanDuel_Odds,420,TRUE,
Tommy Edman,To Hit 1+ HR,Tommy Edman,725,800,700,750,760,870,660,630,1.2119,FanDuel_Odds,870,TRUE,
Victor Robles,To Hit 1+ HR,Victor Robles,1350,,900,1100,1240,1200,1500,810,1.3636,Fanatics_Odds,1500,TRUE,
Vladimir Guerrero Jr.,To Hit 1+ HR,Vladimir Guerrero Jr.,400,370,350,370,387,370,390,310,1.0993,BetMGM_Odds,400,FALSE,
Will Smith,To Hit 1+ HR,Will Smith,,460,450,520,518,560,410,400,1.2183,FanDuel_Odds,560,TRUE,
William Contreras,To Hit 1+ HR,William Contreras,450,460,500,470,518,480,440,450,1.1157,DraftKings_Odds,518,TRUE,
